timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251118T085051.00-0300,-29.216934,-50.896865,0.00,12,787.40,0.75
20251118T085052.00-0300,-29.216934,-50.896865,0.04,12,787.30,0.75
20251118T085053.00-0300,-29.216934,-50.896865,0.13,12,787.30,0.75
20251118T085054.00-0300,-29.216935,-50.896865,0.07,12,787.20,0.75
20251118T085055.00-0300,-29.216936,-50.896866,0.02,12,787.20,0.75
20251118T085056.00-0300,-29.216936,-50.896866,0.06,12,787.20,0.75
20251118T085057.00-0300,-29.216936,-50.896866,0.00,12,787.20,0.75
20251118T085058.00-0300,-29.216935,-50.896866,0.02,12,787.20,0.75
20251118T085059.00-0300,-29.216935,-50.896866,0.04,12,787.10,0.75
20251118T085100.00-0300,-29.216935,-50.896866,0.02,12,787.20,0.75
20251118T085101.00-0300,-29.216936,-50.896866,0.02,12,787.20,0.75
20251118T085102.00-0300,-29.216936,-50.896866,0.07,12,787.20,0.75
20251118T085103.00-0300,-29.216936,-50.896867,0.04,12,787.20,0.75
20251118T085104.00-0300,-29.216936,-50.896867,0.02,12,787.10,0.77
20251118T085105.00-0300,-29.216936,-50.896867,0.06,12,787.00,0.75
20251118T085106.00-0300,-29.216937,-50.896867,0.02,12,787.00,0.75
20251118T085107.00-0300,-29.216937,-50.896867,0.11,12,786.90,0.75
20251118T085108.00-0300,-29.216937,-50.896866,0.07,12,786.80,0.75
20251118T085109.00-0300,-29.216938,-50.896866,0.06,12,786.80,0.75
20251118T085110.00-0300,-29.216938,-50.896866,0.02,12,786.80,0.75
20251118T085111.00-0300,-29.216938,-50.896867,0.02,12,786.70,0.75
20251118T085112.00-0300,-29.216938,-50.896867,0.06,12,786.70,0.75
20251118T085113.00-0300,-29.216938,-50.896867,0.02,12,786.60,0.75
20251118T085114.00-0300,-29.216938,-50.896867,0.02,12,786.50,0.75
20251118T085115.00-0300,-29.216939,-50.896867,0.04,12,786.40,0.75
20251118T085116.00-0300,-29.216939,-50.896868,0.02,12,786.40,0.75
20251118T085117.00-0300,-29.216939,-50.896868,0.04,12,786.40,0.75
20251118T085119.00-0300,-29.216940,-50.896868,0.04,12,786.30,0.75
20251118T085120.00-0300,-29.216941,-50.896868,0.04,12,786.30,0.75
20251118T085121.00-0300,-29.216942,-50.896868,0.02,12,786.20,0.75
20251118T085122.00-0300,-29.216942,-50.896868,0.04,12,786.10,0.75
20251118T085123.00-0300,-29.216942,-50.896868,0.11,12,786.00,0.75
20251118T085124.00-0300,-29.216942,-50.896868,0.06,12,785.80,0.75
20251118T085125.00-0300,-29.216944,-50.896868,0.07,12,785.70,0.75
20251118T085126.00-0300,-29.216945,-50.896868,0.00,12,785.70,0.75
20251118T085127.00-0300,-29.216946,-50.896868,0.02,12,785.60,0.75
20251118T085128.00-0300,-29.216947,-50.896868,0.02,12,785.60,0.75
20251118T085129.00-0300,-29.216948,-50.896868,0.02,12,785.50,0.75
20251118T085130.00-0300,-29.216948,-50.896868,0.00,12,785.50,0.75
20251118T085131.00-0300,-29.216949,-50.896868,0.02,12,785.40,0.75
20251118T085132.00-0300,-29.216949,-50.896867,0.00,12,785.40,0.75
20251118T085133.00-0300,-29.216950,-50.896867,0.04,12,785.30,0.75
20251118T085134.00-0300,-29.216950,-50.896867,0.02,12,785.20,0.75
20251118T085135.00-0300,-29.216950,-50.896867,0.00,12,785.10,0.75
20251118T085136.00-0300,-29.216950,-50.896866,0.02,12,785.10,0.75
20251118T085137.00-0300,-29.216950,-50.896866,0.00,12,785.10,0.75
20251118T085138.00-0300,-29.216951,-50.896866,0.02,12,785.10,0.75
20251118T085139.00-0300,-29.216951,-50.896866,0.06,12,785.10,0.75
20251118T085140.00-0300,-29.216951,-50.896866,0.02,12,785.00,0.75
20251118T085141.00-0300,-29.216951,-50.896866,0.06,12,784.90,0.75
20251118T085142.00-0300,-29.216951,-50.896866,0.17,12,784.80,0.75
20251118T085143.00-0300,-29.216951,-50.896866,0.00,12,784.80,0.75
20251118T085144.00-0300,-29.216952,-50.896867,0.02,12,784.70,0.75
20251118T085145.00-0300,-29.216952,-50.896867,0.00,12,784.80,0.75
20251118T085146.00-0300,-29.216953,-50.896867,0.07,12,784.80,0.75
20251118T085147.00-0300,-29.216953,-50.896867,0.04,12,784.80,0.75
20251118T085148.00-0300,-29.216953,-50.896867,0.02,12,784.80,0.75
20251118T085150.00-0300,-29.216953,-50.896867,0.02,12,784.80,0.75
20251118T085151.00-0300,-29.216953,-50.896867,0.04,12,784.90,0.75
20251118T085152.00-0300,-29.216953,-50.896867,0.09,12,785.00,0.75
20251118T085153.00-0300,-29.216953,-50.896868,0.00,12,785.00,0.75
20251118T085154.00-0300,-29.216952,-50.896868,0.04,12,785.10,0.75
20251118T085155.00-0300,-29.216952,-50.896868,0.00,12,785.20,0.77
20251118T085156.00-0300,-29.216951,-50.896868,0.00,12,785.20,0.75
20251118T085157.00-0300,-29.216951,-50.896868,0.02,12,785.20,0.75
20251118T085158.00-0300,-29.216950,-50.896868,0.02,12,785.30,0.75
20251118T085159.00-0300,-29.216950,-50.896869,0.02,12,785.30,0.75
20251118T085200.00-0300,-29.216950,-50.896869,0.02,12,785.40,0.75
20251118T085201.00-0300,-29.216949,-50.896869,0.02,12,785.40,0.75
20251118T085202.00-0300,-29.216948,-50.896870,0.15,12,785.40,0.75
20251118T085203.00-0300,-29.216948,-50.896870,0.06,12,785.40,0.75
20251118T085204.00-0300,-29.216948,-50.896871,0.07,12,785.50,0.75
20251118T085205.00-0300,-29.216948,-50.896871,0.02,12,785.50,0.77
20251118T085206.00-0300,-29.216948,-50.896871,0.00,12,785.50,0.75
20251118T085207.00-0300,-29.216948,-50.896872,0.00,12,785.50,0.75
20251118T085208.00-0300,-29.216948,-50.896872,0.06,12,785.50,0.75
20251118T085209.00-0300,-29.216948,-50.896872,0.04,12,785.60,0.75
20251118T085210.00-0300,-29.216948,-50.896873,0.02,12,785.70,0.75
20251118T085211.00-0300,-29.216947,-50.896873,0.00,12,785.90,0.75
20251118T085212.00-0300,-29.216947,-50.896874,0.13,12,786.00,0.75
20251118T085213.00-0300,-29.216947,-50.896874,0.00,12,786.10,0.75
20251118T085214.00-0300,-29.216947,-50.896874,0.09,12,786.30,0.75
20251118T085215.00-0300,-29.216947,-50.896875,0.06,12,786.40,0.75
20251118T085216.00-0300,-29.216947,-50.896875,0.04,12,786.50,0.75
20251118T085217.00-0300,-29.216947,-50.896875,0.00,12,786.60,0.75
20251118T085218.00-0300,-29.216947,-50.896875,0.06,12,786.70,0.75
20251118T085219.00-0300,-29.216947,-50.896875,0.04,12,786.80,0.75
20251118T085220.00-0300,-29.216946,-50.896875,0.06,12,786.80,0.75
20251118T085221.00-0300,-29.216946,-50.896876,0.00,12,786.90,0.75
20251118T085222.00-0300,-29.216946,-50.896875,0.04,12,786.90,0.75
20251118T085223.00-0300,-29.216946,-50.896875,0.06,12,787.10,0.75
20251118T085224.00-0300,-29.216946,-50.896875,0.02,12,787.10,0.75
20251118T085225.00-0300,-29.216947,-50.896875,0.06,12,787.00,0.75
20251118T085226.00-0300,-29.216947,-50.896874,0.02,12,786.90,0.75
20251118T085227.00-0300,-29.216948,-50.896874,0.02,12,786.90,0.75
20251118T085229.00-0300,-29.216949,-50.896873,0.06,12,786.90,0.75
20251118T085230.00-0300,-29.216949,-50.896872,0.06,12,787.00,0.75
20251118T085231.00-0300,-29.216949,-50.896872,0.00,12,787.00,0.75
20251118T085232.00-0300,-29.216950,-50.896872,0.11,12,787.00,0.75
20251118T085233.00-0300,-29.216951,-50.896872,0.06,12,787.00,0.75
20251118T085234.00-0300,-29.216951,-50.896872,0.02,12,787.00,0.75
20251118T085235.00-0300,-29.216951,-50.896872,0.13,12,786.90,0.75
20251118T085236.00-0300,-29.216952,-50.896872,0.02,12,787.00,0.75
20251118T085237.00-0300,-29.216952,-50.896872,0.02,12,787.00,0.75
20251118T085238.00-0300,-29.216953,-50.896872,0.02,12,786.90,0.75
20251118T085239.00-0300,-29.216953,-50.896872,0.04,12,786.90,0.75
20251118T085240.00-0300,-29.216954,-50.896872,0.07,12,786.90,0.75
20251118T085241.00-0300,-29.216954,-50.896872,0.04,12,786.90,0.75
20251118T085242.00-0300,-29.216954,-50.896872,0.11,12,786.70,0.75
20251118T085243.00-0300,-29.216954,-50.896872,0.09,12,786.70,0.77
20251118T085244.00-0300,-29.216954,-50.896872,0.06,12,786.70,0.77
20251118T085245.00-0300,-29.216953,-50.896873,0.02,12,786.60,0.77
20251118T085246.00-0300,-29.216953,-50.896872,0.04,12,786.40,0.75
