timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T084346.00-0300,-29.206655,-50.896572,0.56,7,829.90,1.09
20251030T084347.00-0300,-29.206658,-50.896569,0.06,7,829.60,1.09
20251030T084348.00-0300,-29.206659,-50.896568,0.78,7,829.10,1.09
20251030T084349.00-0300,-29.206663,-50.896565,0.50,7,828.40,1.09
20251030T084351.00-0300,-29.206668,-50.896559,1.17,7,827.60,1.09
20251030T084352.00-0300,-29.206670,-50.896558,0.56,7,827.60,1.09
20251030T084353.00-0300,-29.206672,-50.896557,0.22,7,827.70,1.09
20251030T084354.00-0300,-29.206673,-50.896555,0.44,7,827.30,1.09
20251030T084355.00-0300,-29.206672,-50.896558,0.85,7,827.40,1.09
20251030T084356.00-0300,-29.206672,-50.896560,0.96,7,827.50,1.09
20251030T084357.00-0300,-29.206673,-50.896555,1.11,7,827.40,1.09
20251030T084358.00-0300,-29.206672,-50.896553,0.63,7,827.70,1.09
20251030T084359.00-0300,-29.206670,-50.896555,0.83,7,828.00,1.09
20251030T084400.00-0300,-29.206670,-50.896555,0.54,7,828.40,1.09
20251030T084401.00-0300,-29.206674,-50.896555,0.19,7,828.30,1.09
20251030T084402.00-0300,-29.206677,-50.896554,0.22,7,829.00,1.09
20251030T084403.00-0300,-29.206677,-50.896553,0.17,7,828.70,1.09
20251030T084404.00-0300,-29.206678,-50.896552,0.11,7,828.00,1.09
20251030T084405.00-0300,-29.206677,-50.896552,1.44,7,827.30,1.09
20251030T084406.00-0300,-29.206676,-50.896551,1.57,7,826.50,1.09
20251030T084407.00-0300,-29.206679,-50.896546,0.24,7,825.90,1.09
20251030T084408.00-0300,-29.206682,-50.896540,0.96,7,825.30,1.09
20251030T084409.00-0300,-29.206686,-50.896541,2.00,7,824.60,1.09
20251030T084410.00-0300,-29.206692,-50.896540,1.91,7,824.60,1.09
20251030T084411.00-0300,-29.206692,-50.896542,0.61,7,824.00,1.09
20251030T084412.00-0300,-29.206700,-50.896541,2.59,7,823.80,1.09
20251030T084413.00-0300,-29.206699,-50.896542,0.63,7,824.50,1.09
20251030T084414.00-0300,-29.206697,-50.896541,1.00,7,824.50,1.09
20251030T084415.00-0300,-29.206695,-50.896543,0.65,7,824.20,1.09
20251030T084416.00-0300,-29.206694,-50.896546,0.35,7,824.80,1.09
20251030T084417.00-0300,-29.206692,-50.896550,0.09,7,825.00,1.09
20251030T084418.00-0300,-29.206691,-50.896553,0.17,7,825.30,1.09
20251030T084419.00-0300,-29.206684,-50.896559,0.52,7,827.00,1.09
20251030T084420.00-0300,-29.206680,-50.896563,0.06,7,827.60,1.09
20251030T084421.00-0300,-29.206676,-50.896565,0.07,7,828.00,1.09
20251030T084422.00-0300,-29.206674,-50.896565,0.06,7,827.60,1.09
